folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_18\N016_V3641_PE3246_41deg,3641,41,3246,743.8142749211795,606.5615245157368,23690000.0,4.6879992485,22417101.58333333,5085412.169921013
251210_new_batch\batch_18\N017_V3994_PE4421_56deg,3994,56,4421,756.8557536218218,593.2451672735309,20710000.0,4.9190011025,17224922.666666664,4971156.427621914
251210_new_batch\batch_18\N018_V4259_PE4260_48deg,4259,48,4260,785.5057575134955,735.7207671923308,29230000.0,4.8730008602,18991438.33333333,6311881.316751129
251210_new_batch\batch_18\N019_V3497_PE3560_49deg,3497,49,3560,775.6232540968352,662.9131894484088,22580000.0,4.289000988,22397827.58333333,5670250.412021665
251210_new_batch\batch_18\N021_V555_PE542_46deg,555,46,542,50.52205417167583,90.91683313270909,3353000.0,4.2580008507,26822452.0,1201908.5282900936
251210_new_batch\batch_18\N022_V4893_PE3385_30deg,4893,30,3385,772.9003432957717,706.7923236237779,25810000.0,5.548999786300001,18625800.0,7757421.316276876
251210_new_batch\batch_18\N024_V1568_PE1800_59deg,1568,59,1800,482.1158127472144,278.08504056692743,11900000.0,4.090998888,16275785.854166666,2912148.772771878
251210_new_batch\batch_18\N025_V3012_PE2137_31deg,3012,31,2137,779.517641359967,397.1254112256556,17900000.0,5.393999576500001,19894299.5,3902601.737795435
251210_new_batch\batch_18\N026_V3979_PE4150_51deg,3979,51,4150,749.0835689538999,632.9178955523952,22880000.0,4.4820008278,26601161.625,5773861.645077465
251210_new_batch\batch_18\N027_V2200_PE2539_60deg,2200,60,2539,565.423387463231,439.184597993586,15630000.0,4.0739998818,18198015.27083333,3884336.5059557976
251210_new_batch\batch_18\N028_V3665_PE3735_49deg,3665,49,3735,781.3762903770669,740.0003741952993,26770000.0,5.0229997635,20778164.08333333,6144291.57867391
251210_new_batch\batch_18\N029_V966_PE809_38deg,966,38,809,159.54241377779508,117.4394290574717,4960000.0,3.246998787,26122149.3125,1327000.2021082588
251210_new_batch\batch_18\N030_V4970_PE3539_31deg,4970,31,3539,759.3890588669527,655.0323658025156,23310000.0,5.495000839199999,23419413.33333333,7273529.609001285
